target_hydrocode,HUC8,ghi
nhd_huc8_02070001,2070001,134.9
nhd_huc8_02070004,2070004,134.9
nhd_huc8_02070005,2070005,134.9
nhd_huc8_02070006,2070006,134.9
nhd_huc8_02070007,2070007,134.9
nhd_huc8_02070008,2070008,134.9
nhd_huc8_02070010,2070010,134.9
nhd_huc8_02070011,2070011,134.9
nhd_huc8_02080102,2080102,342.9
nhd_huc8_02080103,2080103,342.9
nhd_huc8_02080104,2080104,342.9
nhd_huc8_02080105,2080105,342.9
nhd_huc8_02080106,2080106,342.9
nhd_huc8_02080107,2080107,342.9
nhd_huc8_02080108,2080108,342.9
nhd_huc8_02080201,2080201,386.5
nhd_huc8_02080202,2080202,386.5
nhd_huc8_02080203,2080203,386.5
nhd_huc8_02080204,2080204,386.5
nhd_huc8_02080205,2080205,386.5
nhd_huc8_02080206,2080206,386.5
nhd_huc8_02080207,2080207,386.5
nhd_huc8_02080208,2080208,386.5
nhd_huc8_03010101,3010101,342
nhd_huc8_03010102,3010102,342
nhd_huc8_03010103,3010103,342
nhd_huc8_03010104,3010104,342
nhd_huc8_03010105,3010105,342
nhd_huc8_03010106,3010106,342
nhd_huc8_03010201,3010201,485.9
nhd_huc8_03010202,3010202,485.9
nhd_huc8_03010203,3010203,485.9
nhd_huc8_03010204,3010204,485.9
nhd_huc8_03010205,3010205,485.9
nhd_huc8_05050001,5050001,312
nhd_huc8_05050002,5050002,312
nhd_huc8_05070201,5070201,312
nhd_huc8_05070202,5070202,312
nhd_huc8_06010101,6010101,715
nhd_huc8_06010102,6010102,715
nhd_huc8_06010104,6010104,715
nhd_huc8_06010205,6010205,796
nhd_huc8_06010206,6010206,796
